id,ad,kategori,malzemeler,hazirlanis,aciklama,duygu_etiketi
-MbNzUyCtfBnsghdACKO,Soslu Misket Köfte Tarifi,Köfte,dana kıyma;büyük boy soğan;sarımsak;yumurta;tuz;karabiber;kimyon;pul biber;bayat ekmek kırıntısı;sıvı yağ;domates salçası;domates püresi;tereyağı;sıcak su;pul biber;,"1.) Kıymayı geniş bir karıştırma kabına alın. Üzerine soğanı ve sarımsağı rendeleyin. Tüm baharatlarını ve yumurtayı ekleyip yoğurun.
2.) Son olarak bayat ekmek kırıntılarını kaşık kaşık ekleyerek kıvam almasını sağlayın. Tüm harç birleşince dinlenmesi için en az 30 dakika buzdolabında bekletin.
3.) Buzdolabından çıkardıktan sonra kiraz büyüklüğünde parçalar kopararak elinizde yuvarlayın. Elinizi suyla ıslatırsanız veya yağ ile yağlarsanız daha kolay şekil verebilirsiniz.
4.) Tüm köftelerin eşit boyda olmasına özen gösterin, ne çok büyük ne de çok küçük olmalı.
5.) Tavayı sıvı yağ ekleyip güzelce ısıtın. Misket köfteleri ekleyin, karıştırmadan pişirmeye başlayın. Bu şekilde 2 dakika pişirin.
6.) Tavayı ara ara sallayarak 3-4 dakika pişirin. Ters dönmeyen köfteleri dikkatli ters çevirin. Piştiğine emin olduktan sonra tavadan alın.
7.) Aynı tava içerisine salça, domates püresi, pul biber, suyu ekleyin. Karıştırın ve ısındıktan sonra tereyağını da ekleyip birleşmesini sağlayın.
8.) Misket köfteleri tekrar tavaya alıp sosla birleştirin. Tavayı hafifçe ileri-geri sallayarak veya bir spatula kullanarak sosla bulanmasını sağlayın. 1-2 dakika pişirin.
9.) Sıcakken servis edin. Pilav veya patates püresi ile servis edebilirsiniz. Afiyet olsun!
",Enfes sosu ve tam kıvamında köfte harcıyla soslu misket tarifi arayanları buraya alalım. Yanına da sade bir pilav varsa enfes!,enerji verir
-MbNzVCQy3cTLIQ9G_ga,Fırında Kaşarlı Ispanak Yemeği Tarifi,Sebze,ıspanak (ayıklanmış ve temizlenmiş);patates;zeytinyağı;tuz (azaltıp arttırılabilir);karabiber;un;tereyağı;süt;rendelenmiş kaşar peyniri;,"1.) Patateslerin kabuklarını soyup rendeleyin ve bir tavaya alın. Üzerine zeytinyağı ilave edin, suyunu salıp çekene kadar kavurun.
2.) Temizlenmiş, yıkanmış ıspanakları doğrayın. Ispanakların bir kısmını ilave edip karıştırın. Ardından diğer kısmını, tuz ve baharatları da ekleyerek yaklaşık 4 dakika kadar kavurun.
3.) Yağlanmış borcama ıspanaklı patatesli karışımı aktarın, üzerini spatula yardımıyla düzleştirin. Bir tencerede un ve tereyağını kavurun. Üzerine azar azar süt ilave edin. Bir yandan da karıştırarak topaklaşmasını engelleyin. Yoğunlaşınca beşamel sosunuz hazır.
4.) Önceden ısıtılmış 200 derecelik fırında 10 dakika pişirin. 10 dakika pişirdikten sonra çıkarıp üzerine kaşar peyniri serpin.
5.) Yeniden fırına verin, üzeri kızarıp peynirler tamamen eriyene kadar yaklaşık 10 dakika daha pişirin.
6.) Üzeri kızarınca yemeğiniz hazır! Fırından dilim bir süre dinlendirin ve dilimleyerek servis edin. Ellerinize sağlık!
",Fırında kaşarlı ıspanak yemeği sebze tariflerinden hem hafif hem de çok doyurucu bir tarif. Üstelik resimli anlatımlı. Mutlaka deneyin.,rahatlatır
-MbNzVJVi59O2Z3pz8VJ,Kadınbudu Köfte Tarifi,Et,orta yağlı kıyma;yumurta;kuru soğan;sarımsak;haşlanmış pirinç;tuz;karabiber;kimyon;un;ayçiçek yağı;galeta unu;yumurta;,"1.) 1/2 su bardağı pirinci tuz ve su ile birlikte hafif yumuşayana kadar kaynatın. Çok yumuşamamasına dikkat edin.
2.) Bir tavada zeytinyağı ile soğanları  yumuşayana kadar kavurun.
3.) Sarımsakları da ekleyip kavurmaya devam edin.
4.) Kıymanın yarısını soğan ve sarımsakların içerisine alın ve suyunu salıp, çekene kadar kavurun. Pişen kıymaları ocaktan alın ve soğumaya bırakın.
5.) Geniş bir kasede çiğ kıyma, un, haşlanmış pirinç, pişip soğuyan soğanlı kıyma harcını, yumurta ve tüm baharatları bir araya getirip yoğurun.
6.) Yoğurduktan sonra üzerine streç çekip 30 dakika buzdolabında bekletin.
7.) Bekleyen harçtan yumurtadan biraz daha büyük parçalar koparıp yuvarlayarak şekil verin.
8.) Şekil verilmiş köfteleri önce galeta ununa, sonra yumurtaya batırıp kızgın yağda kızartın.
9.) Servis ederken püre ve sotelenmiş sebzeler ile servis edebilirsiniz, afiyet olsun!
","Köfte çeşitlerinden ismi ile müsemma, lezzetli kadınbudu köfte tarifinin yapımı da pirinç ilavesi nedeniyle bir o kadar pratik ve besleyici.",enerji verir
-MbNzVXQ61qgJsGTEeUh,Patatesli Bomba Köfte Tarifi,Köfte,orta yağlı dana kıyması;rendelenmiş soğan;maydanoz;tuz;kimyon;karabiber;yumurta;patates;tuz;rendelenmiş kaşar peyniri;haşlanmış nohut;yumurta;rendelenmiş kaşar peyniri;tereyağı;domates salçası;su;tuz;,"1.) Köfteyi hazırlamak için, bir kasede kıyma, rendelenmiş soğan, maydanoz, tuz, kimyon, karabiber ve yumurtayı yoğurarak karıştırın.
2.) Köfte harcından cevizden biraz büyük parçalar koparın ve yuvarlayın.
3.) Hazırlamış olduğunuz köfteleri tavada kızdığırdığınız sıvı yağda kızartın.
4.) Haşlanmış patatesleri geniş bir kasede ezin. Üzerine tuz, rendelenmiş kaşar peyniri, haşlanmış nohut ve yumurta ekleyip karıştırın.
5.) Ellerinizi ıslatın. Patatesli harçtan portakal büyüklüğünde parçalar alın ve pişirdiğiniz köfteleri ortasına koyup top şeklini verin.
6.) Hazırladığınız patates toplarını pişirme kağıdı serili fırın tepsisine alın ve üzerlerine kaşar peyniri ekleyin.
7.) 200 derece fırında kaşar peyniri eriyene kadar, yaklaşık 20 dakika pişirin.
8.) Patatesli bomba köfteler fırında pişerken sosu hazırlayın. Bir tavada tereyağını eritip salça ile birlikte kavurun. Üzerine su ilave edin, tuzla tatlandırın ve 2 dakika yüksek ateşte kaynattıktan sonra ocaktan alın. Pişmiş olan bomba köftelerin üzerine sos gezdirip servis edin. Afiyet olsun!
","Patates ve köftenin o müthiş uyumu daha da pekişiyor, lezzet bombasına dönüşüyor! Karşınızda: Patatesli bomba köfte tarifi burada!",enerji verir
-MbNzVkJJ0wL9fDAVnir,Sosyete Mantısı Tarifi,Hamur İşi,yufka;tereyağ;yumurta;kıyma;kuru soğan;tuz;karabiber;yoğurt;sarımsak;salça;zeytinyağı;,"1.) İç harcı için; bir kaba kıymayı alın ve üstüne soğanı rendeleyin. Tuz ve karabiberi de ilave edip güzelce karıştırın.
2.) Yufkanızın bir tanesini alın, tezgaha serin ve bir bıçak yardımıyla 4’e kesin.
3.) Tereyağını eritin, ılıklaşmasını bekleyin ve içine yumurtayı ekleyip, bir çatal yardımıyla güzelce çırpın.
4.) Kestiğiniz her bir yufka parçasına, bir fırça yardımıyla, hazırladığınız yumurtalı karışımdan sürün. Kestiğiniz yufka parçasının geniş kenarına hazırladığınız harçtan bir sıra halinde koyun ve sıkı sıkı rulo yaparak, üçgen köşesine doğru sarın.
5.) Hazırladığınız ruloyu, bir ucundan kıvırarak kendi etrafında döndürün. Böylece bir spiral şekli elde edeceksiniz.
6.) Pişerken açılmaması için bir kürdan yardımıyla tutturun ve yağlı kağıt serdiğiniz bir fırın tepsisine dizin.
7.) Üstlerine de hazırladığınız yumurtalı karışımdan sürün. Bu şekilde tüm yufkaları ve iç harcı bitirin. Önceden ısıtılmış 170 derece fırında, üstleri kızaran dek, yaklaşık 25 dakika pişirin.
8.) Mantılar pişerken sosunu hazırlayın. Yoğurdu bir kaba alın, içine sarımsağı rendeleyin. Küçük bir tavada salçayı yağ ile açın ve 2-3 dakika kadar kavurun. Mantılar fırından çıkınca sıcak sıcak servis tabağına alın.
9.) Üstlerine önce sarımsaklı yoğurt, ardından da salçalı yağı gezdirin ve servis edin.
","Mantı yapımını kolaylaştıran, yapımı çok pratik, yemelere doyamayacağınız nefis mi nefis sosyete mantısı tarifi ile karşınızdayız!",enerji verir
-MbNzVrphvq2T0Nh8vr3,Yoğurtlu Muhacir Köftesi Tarifi,Köfte,dana kıyma;yumurta;buğday nişastası;soğan;ekmek içi;tuz;karabiber;yoğurt;un;yumurta;sarımsak;,"1.) Köftesi için, geniş bir yoğurma kabında kıyma, yumurta, nişasta, soğan, ekmek içi, tuz ve karabiberi ekleyip güzelce yoğurun.
2.) Yoğurduğunuz kıymadan  ceviz büyüklüğünde parçalar alıp uzunlamasına köfte olacak şekilde, elinizle şekil verin.
3.) Ayrı bir kasede yoğurt, un, yumurta ve sarımsağı güzelce çırpın.
4.) Köfteleri una bulayın ve sıvı yağda köfteleri kızartın.
5.) Isıya dayanıklı bir fırın kabına kızaran köfteleri gelişigüzel dizin.
6.) Üzerine hazırladığınız yoğurtlu karışımı dökün ve 175 derece fırında 20 dakika pişirin ve sevdiklerinizle afiyetle tüketin.
","Sevdiklerinizle afiyetle tüketeceğiniz nefis, yoğurt soslu muhacir köftesi tarifimiz var! Malzemeler hazırsa, haydi mutfağa!",enerji verir
-MbNzVzC1LZZDiHVWJat,Pancake (Pankek) Tarifi,Kahvaltılık,yumurta;toz şeker;un;süt;ayçiçek yağı;kabartma tozu;vanilin;tuz;ayçiçek yağı;bal;,"1.) Derin bir karıştırma kabında 2 yumurta ve  yarım su bardağı şekeri alın.
2.) Şeker eriyene ve karışım krema kıvamını alana kadar çırpın.
3.) Yumurtalı karışımın üzerine, 2 yemek kaşığı sıvı yağ ve 1,5 su bardağı sütü de koyup tekrar çırpın.
4.) 2 su bardağı un, 1 paket kabartma tozu, 1 paket vanilin ve bir tutam tuzu da eleyerek karışımın içerisine ekleyin.
5.) Pürüzsüz bir kıvam alana kadar çırpın.
6.) İlk pankeki pişirmek için; krep tavasını ayçiçek yağı ile yağlayın. Kızdırdığınız tavaya küçük bir kepçe ya da bir kahve fincanı kadar pankek harcını aktarın.
7.) Ocağın altını kısın. Pankeki, üzeri göz göz olana kadar pişirin. Bir spatula yardımıyla çevirdiğiniz pankekin diğer tarafını da aynı şekilde pişirin.
8.) Krep tavasını arada yağlayarak pankek harcı bitene kadar aynı işlemi tekrarlayın.
9.) Servis tabağına aldığınız pankeklerin üzerine tereyağı koyup bal gezdirebilirsiniz, afiyet olsun.
",Adım adım resimli anlatımı ve yapılış videosuyla pratik kahvaltı tariflerinizden biri olacak kahvaltılık kolay pancake (pankek) tarifi karşınızda!,moral yükseltir
-MbNzW5al_iU2LnX3HPp,Revani Tarifi,Tatlı,yumurta;toz şeker;ayçiçek yağı;irmik;un;yoğurt;kabartma tozu;vanilin;toz şeker;su;limon suyu;rendelenmiş hindistan cevizi;,"1.) Tatlının şerbetini hazırlamak için; 3 su bardağı su ve 2,5 su bardağı toz şekeri bir tencereye aktarın.
2.) Kısık ateşte yaklaşık 30 dakika kadar kaynattıktan sonra limon suyunu ekleyin ve ılınması için ocaktan alın.
3.) 3 yumurta bir kabın içerisine aktarın.
4.) Üzerine 1 çay bardağı toz şekeri bir mikser yardımıyla toz şeker tamamen eriyene kadar karıştırın.
5.) 1 çay bardağı ayçiçek yağı, 1 su bardağı yoğurt ve 1 su bardağı irmiği de ekledikten sonra tekrar karıştırın.
6.) Son olarak 1,5 su bardağı un, 1 paket kabartma tozu ve 1 paket vanilini de karışıma ekledikten sonra çırpma işlemini sürdürün.
7.) Yağlanmış fırına dayanıklı kalıbın içerisine hazırladığınız revani karışımını dökün.
8.) Önceden ısıtılmış 180 derece fırında 25-30 dakika kadar pişirin. Fırından çıkardığınız revaninin ilk sıcaklığı geçtikten sonra oda sıcaklığında soğumuş şerbeti üzerine dökün ve şerbeti çekene kadar bekleyin.
9.) Ardından bıçak yardımıyla revaniyi dilimleyin.
10.) Dilimlediğiniz ılık tatlıya rendelenmiş Hindistan cevizi serpiştirip  servis edin. Afiyet olsun!
",Revaniyi evde kolayca ve pratik bir şekilde yapabilmek mümkün aslında. Bu nefis irmikli ve tam ölçülü revani tarifinde tüm sorularınızın cevapları var.,moral yükseltir
-MbNzWD-iEhAMymIuLT0,Muhallebi Tarifi,Tatlı,süt;toz şeker;buğday nişastası;vanilya;un;tereyağı;muz;toz antep fıstığı;,"1.) 5 su bardağı soğuk sütü geniş bir tencereye aktarın. Yarım çay bardağı un, 3 yemek kaşığı buğday nişastası ve 1 su bardağı toz şekeri ilave ettikten sonra ocağın altını açın.
2.) Ara ara karıştırarak koyu bir kıvam alana kadar pişirin.
3.) Kıvam alan muhallebinin altını kapatın.
4.) Henüz sıcakken içerisine 1 tatlı kaşığı tereyağı ve 1 paket vanilya ilave ederek çırpın.
5.) Ardından servis kaselerine paylaştırın ve soğutun.
6.) Antep fıstığıyla süsleyip tatlandırdığınız muhallebileri soğuk olarak sevdiklerinizle paylaşın.
","Sütlü tatlıların en kolay ve ekonomik tarifi olan muhallebi tarifi en pratik, en nefis haliyle karşınızda. Püf noktaları da içinde.",mutlu eder
-MbNzWK7CTIOroR9J6ZW,Mücver Tarifi,Sebze,kabak;yumurta;havuç;un;taze soğan;dereotu;tuz;karabiber;,"1.) Bol suda yıkadığınız kabakları rendenin iri kısmıyla rendeleyin.
2.) Mücveri sulandırmaması için; rendelenmiş kabakların suyunu sıkarak çıkartın.
3.) Geniş bir kapta rendelenen kabakları, havucu, 2 adet çırpılmış yumurtayı, 1 demet taze soğanı, 1 demet dereotunu, 1 tatlı kaşığı tuzu, karabiberi ve 3 kahve fincanı unu birleştirin.
4.) Tüm malzemeler birbiriyle harmanlanıp, macun kıvamını alana kadar spatula yardımıyla karıştırın.
5.) Her bir mücver 1 tepeleme yemek kaşığı olacak şekilde ayarlayın.
6.) Kızgın yağda altın sarısı rengini alana kadar kızartın.
7.) Mücverlerin fazla yağını havlu kağıda süzdürdükten sonra servis tabağına alın ve çırpılmış yoğurt ile servis edin.
","Anne eli değmiş mücver, bu tarifte biraz daha renk kazanıyor. Pratik yemek tariflerinin en sevileni kabak mücveri en güzel haliyle şimdi karşınızda.",moral yükseltir
